count,Number1,Number2,Sum,Ratio,stimFile,Larger side
1,10,11,21,1.1,tbtstim1.png,left
2,10,11,21,1.1,tbtstim2.png,left
3,20,22,42,1.1,tbtstim3.png,left
4,20,22,42,1.1,tbtstim4.png,left
5,30,33,63,1.1,tbtstim5.png,left
6,30,33,63,1.1,tbtstim6.png,left
7,15,18,33,1.2,tbtstim7.png,left
8,15,18,33,1.2,tbtstim8.png,left
9,25,30,55,1.2,tbtstim9.png,left
10,25,30,55,1.2,tbtstim10.png,left
11,45,54,99,1.2,tbtstim11.png,left
12,45,54,99,1.2,tbtstim12.png,left
13,10,13,23,1.3,tbtstim13.png,left
14,10,13,23,1.3,tbtstim14.png,left
15,14,19,33,1.3,tbtstim15.png,left
16,14,19,33,1.3,tbtstim16.png,left
17,30,39,69,1.3,tbtstim17.png,left
18,30,39,69,1.3,tbtstim18.png,left
19,15,21,36,1.4,tbtstim19.png,left
20,15,21,36,1.4,tbtstim20.png,left
21,25,35,60,1.4,tbtstim21.png,left
22,25,35,60,1.4,tbtstim22.png,left
23,40,42,72,1.4,tbtstim23.png,left
24,40,42,72,1.4,tbtstim24.png,left
25,10,15,25,1.5,tbtstim25.png,left
26,10,15,25,1.5,tbtstim26.png,left
27,20,30,50,1.5,tbtstim27.png,left
28,20,30,50,1.5,tbtstim28.png,left
29,30,45,75,1.5,tbtstim29.png,left
30,30,45,75,1.5,tbtstim30.png,left
31,40,60,100,1.5,tbtstim31.png,left
32,40,60,100,1.5,tbtstim32.png,left
33,50,75,125,1.5,tbtstim33.png,left
34,50,75,125,1.5,tbtstim34.png,left
35,20,32,52,1.6,tbtstim35.png,left
36,20,32,52,1.6,tbtstim36.png,left
37,35,56,91,1.6,tbtstim37.png,left
38,35,56,91,1.6,tbtstim38.png,left
39,20,34,54,1.7,tbtstim39.png,left
40,20,34,54,1.7,tbtstim40.png,left
41,30,51,81,1.7,tbtstim41.png,left
42,30,51,81,1.7,tbtstim42.png,left
43,10,18,28,1.8,tbtstim43.png,left
44,10,18,28,1.8,tbtstim44.png,left
45,14,26,40,1.8,tbtstim45.png,left
46,10,11,21,1.1,tbtstim46.png,right
47,10,11,21,1.1,tbtstim47.png,right
48,20,22,42,1.1,tbtstim48.png,right
49,20,22,42,1.1,tbtstim49.png,right
50,30,33,63,1.1,tbtstim50.png,right
51,30,33,63,1.1,tbtstim51.png,right
52,15,18,33,1.2,tbtstim52.png,right
53,15,18,33,1.2,tbtstim53.png,right
54,25,30,55,1.2,tbtstim54.png,right
55,25,30,55,1.2,tbtstim55.png,right
56,45,54,99,1.2,tbtstim56.png,right
57,45,54,99,1.2,tbtstim57.png,right
58,10,13,23,1.3,tbtstim58.png,right
59,10,13,23,1.3,tbtstim59.png,right
60,14,19,33,1.3,tbtstim60.png,right
61,14,19,33,1.3,tbtstim61.png,right
62,30,39,69,1.3,tbtstim62.png,right
63,30,39,69,1.3,tbtstim63.png,right
64,15,21,36,1.4,tbtstim64.png,right
65,15,21,36,1.4,tbtstim65.png,right
66,25,35,60,1.4,tbtstim66.png,right
67,25,35,60,1.4,tbtstim67.png,right
68,40,42,72,1.4,tbtstim68.png,right
69,40,42,72,1.4,tbtstim69.png,right
70,10,15,25,1.5,tbtstim70.png,right
71,10,15,25,1.5,tbtstim71.png,right
72,20,30,50,1.5,tbtstim72.png,right
73,20,30,50,1.5,tbtstim73.png,right
74,30,45,75,1.5,tbtstim74.png,right
75,30,45,75,1.5,tbtstim75.png,right
76,40,60,100,1.5,tbtstim76.png,right
77,40,60,100,1.5,tbtstim77.png,right
78,50,75,125,1.5,tbtstim78.png,right
79,50,75,125,1.5,tbtstim79.png,right
80,20,32,52,1.6,tbtstim80.png,right
81,20,32,52,1.6,tbtstim81.png,right
82,35,56,91,1.6,tbtstim82.png,right
83,35,56,91,1.6,tbtstim83.png,right
84,20,34,54,1.7,tbtstim84.png,right
85,20,34,54,1.7,tbtstim85.png,right
86,30,51,81,1.7,tbtstim86.png,right
87,30,51,81,1.7,tbtstim87.png,right
88,10,18,28,1.8,tbtstim88.png,right
89,10,18,28,1.8,tbtstim89.png,right
90,14,26,40,1.8,tbtstim90.png,right
