Number1,Number2,Sum,Ratio,stimFile,Larger_side
10,11,21,1.1,py_numcom_stim/tbtstim01.png,left
10,11,21,1.1,py_numcom_stim/tbtstim02.png,left
20,22,42,1.1,py_numcom_stim/tbtstim03.png,left
20,22,42,1.1,py_numcom_stim/tbtstim04.png,left
30,33,63,1.1,py_numcom_stim/tbtstim05.png,left
30,33,63,1.1,py_numcom_stim/tbtstim06.png,left
15,18,33,1.2,py_numcom_stim/tbtstim07.png,left
15,18,33,1.2,py_numcom_stim/tbtstim08.png,left
25,30,55,1.2,py_numcom_stim/tbtstim09.png,left
25,30,55,1.2,py_numcom_stim/tbtstim10.png,left
45,54,99,1.2,py_numcom_stim/tbtstim11.png,left
45,54,99,1.2,py_numcom_stim/tbtstim12.png,left
10,13,23,1.3,py_numcom_stim/tbtstim13.png,left
10,13,23,1.3,py_numcom_stim/tbtstim14.png,left
14,19,33,1.3,py_numcom_stim/tbtstim15.png,left
14,19,33,1.3,py_numcom_stim/tbtstim16.png,left
30,39,69,1.3,py_numcom_stim/tbtstim17.png,left
30,39,69,1.3,py_numcom_stim/tbtstim18.png,left
15,21,36,1.4,py_numcom_stim/tbtstim19.png,left
15,21,36,1.4,py_numcom_stim/tbtstim20.png,left
25,35,60,1.4,py_numcom_stim/tbtstim21.png,left
25,35,60,1.4,py_numcom_stim/tbtstim22.png,left
40,42,72,1.4,py_numcom_stim/tbtstim23.png,left
40,42,72,1.4,py_numcom_stim/tbtstim24.png,left
10,15,25,1.5,py_numcom_stim/tbtstim25.png,left
10,15,25,1.5,py_numcom_stim/tbtstim26.png,left
20,30,50,1.5,py_numcom_stim/tbtstim27.png,left
20,30,50,1.5,py_numcom_stim/tbtstim28.png,left
30,45,75,1.5,py_numcom_stim/tbtstim29.png,left
30,45,75,1.5,py_numcom_stim/tbtstim30.png,left
40,60,100,1.5,py_numcom_stim/tbtstim31.png,left
40,60,100,1.5,py_numcom_stim/tbtstim32.png,left
50,75,125,1.5,py_numcom_stim/tbtstim33.png,left
50,75,125,1.5,py_numcom_stim/tbtstim34.png,left
20,32,52,1.6,py_numcom_stim/tbtstim35.png,left
20,32,52,1.6,py_numcom_stim/tbtstim36.png,left
35,56,91,1.6,py_numcom_stim/tbtstim37.png,left
35,56,91,1.6,py_numcom_stim/tbtstim38.png,left
20,34,54,1.7,py_numcom_stim/tbtstim39.png,left
20,34,54,1.7,py_numcom_stim/tbtstim40.png,left
30,51,81,1.7,py_numcom_stim/tbtstim41.png,left
30,51,81,1.7,py_numcom_stim/tbtstim42.png,left
10,18,28,1.8,py_numcom_stim/tbtstim43.png,left
10,18,28,1.8,py_numcom_stim/tbtstim44.png,left
14,26,40,1.8,py_numcom_stim/tbtstim45.png,left
10,11,21,1.1,py_numcom_stim/tbtstim46.png,right
10,11,21,1.1,py_numcom_stim/tbtstim47.png,right
20,22,42,1.1,py_numcom_stim/tbtstim48.png,right
20,22,42,1.1,py_numcom_stim/tbtstim49.png,right
30,33,63,1.1,py_numcom_stim/tbtstim50.png,right
30,33,63,1.1,py_numcom_stim/tbtstim51.png,right
15,18,33,1.2,py_numcom_stim/tbtstim52.png,right
15,18,33,1.2,py_numcom_stim/tbtstim53.png,right
25,30,55,1.2,py_numcom_stim/tbtstim54.png,right
25,30,55,1.2,py_numcom_stim/tbtstim55.png,right
45,54,99,1.2,py_numcom_stim/tbtstim56.png,right
45,54,99,1.2,py_numcom_stim/tbtstim57.png,right
10,13,23,1.3,py_numcom_stim/tbtstim58.png,right
10,13,23,1.3,py_numcom_stim/tbtstim59.png,right
14,19,33,1.3,py_numcom_stim/tbtstim60.png,right
14,19,33,1.3,py_numcom_stim/tbtstim61.png,right
30,39,69,1.3,py_numcom_stim/tbtstim62.png,right
30,39,69,1.3,py_numcom_stim/tbtstim63.png,right
15,21,36,1.4,py_numcom_stim/tbtstim64.png,right
15,21,36,1.4,py_numcom_stim/tbtstim65.png,right
25,35,60,1.4,py_numcom_stim/tbtstim66.png,right
25,35,60,1.4,py_numcom_stim/tbtstim67.png,right
40,42,72,1.4,py_numcom_stim/tbtstim68.png,right
40,42,72,1.4,py_numcom_stim/tbtstim69.png,right
10,15,25,1.5,py_numcom_stim/tbtstim70.png,right
10,15,25,1.5,py_numcom_stim/tbtstim71.png,right
20,30,50,1.5,py_numcom_stim/tbtstim72.png,right
20,30,50,1.5,py_numcom_stim/tbtstim73.png,right
30,45,75,1.5,py_numcom_stim/tbtstim74.png,right
30,45,75,1.5,py_numcom_stim/tbtstim75.png,right
40,60,100,1.5,py_numcom_stim/tbtstim76.png,right
40,60,100,1.5,py_numcom_stim/tbtstim77.png,right
50,75,125,1.5,py_numcom_stim/tbtstim78.png,right
50,75,125,1.5,py_numcom_stim/tbtstim79.png,right
20,32,52,1.6,py_numcom_stim/tbtstim80.png,right
20,32,52,1.6,py_numcom_stim/tbtstim81.png,right
35,56,91,1.6,py_numcom_stim/tbtstim82.png,right
35,56,91,1.6,py_numcom_stim/tbtstim83.png,right
20,34,54,1.7,py_numcom_stim/tbtstim84.png,right
20,34,54,1.7,py_numcom_stim/tbtstim85.png,right
30,51,81,1.7,py_numcom_stim/tbtstim86.png,right
30,51,81,1.7,py_numcom_stim/tbtstim87.png,right
10,18,28,1.8,py_numcom_stim/tbtstim88.png,right
10,18,28,1.8,py_numcom_stim/tbtstim89.png,right
14,26,40,1.8,py_numcom_stim/tbtstim90.png,right
